0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.0,0.5,0.0,0.0,0.5965753,0.26923078,0.0,0.0,0.532,0.55,0.5000526,0.0,0.0,0.50021994,0.5000068,0.5000526,0.0,0.0,0.50021994,0.5000068
0.5,0.0,1.0,0.5,0.5,1.0,0.52666664,0.52666664,0.0,0.0,0.0,0.500055,0.50009537,0.0,0.0,0.0,0.500055,0.50009537,0.0,0.0
0.0,0.5,0.5,0.5,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.50012213,0.50143075,0.5003309,0.0,0.0,0.50012213,0.50143075,0.5003309
0.5,0.0,0.0,0.0,1.0,0.26923078,0.52666664,0.0,0.0,0.5913333,0.0,0.5000668,0.0,0.5053717,0.0,0.0,0.5000668,0.0,0.5053717,0.0
0.5,0.5,1.0,0.5,0.5,1.0,0.52666664,0.0,0.0,0.0,0.0,0.5000327,0.5000642,0.0,0.0,0.0,0.5000327,0.5000642,0.0,0.0
0.5,0.0,0.51575345,0.8075342,0.86712325,1.0,0.52666664,0.0,0.0,0.0,0.0,0.5000459,0.0,0.5014373,0.0,0.0,0.0,0.0,0.5014373,0.0
0.5,0.5,1.0,0.5,0.5,1.0,0.52666664,0.0,0.0,0.0,0.0,0.50003624,0.50003386,0.0,0.0,0.0,0.50003624,0.50003386,0.0,0.0
0.0,0.0,0.86712325,0.86712325,0.86712325,1.0,0.52666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5,0.0,0.0,0.50547945,0.26923078,0.52666664,0.0,0.0,0.0,0.0,0.5000934,0.0,0.0,0.0,0.0,0.5000934,0.0,0.0,0.0
0.5,0.0,0.5,0.5116438,0.5,0.26923078,0.52666664,0.0,0.0,0.662,0.50003606,0.5000827,0.0,0.51758844,0.50073224,0.0,0.5000827,0.0,0.51758844,0.50073224
0.5,0.5082192,0.5109589,0.6544521,0.85205483,1.0,0.0,0.53466666,0.0,0.0,0.50002193,0.0,0.0,0.0,0.50017947,0.50002193,0.0,0.0,0.0,0.50017947
0.0,0.0,0.86712325,0.86712325,0.86712325,1.0,0.52666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.52933335,0.622,0.0,0.5000145,0.0,0.0,0.0,0.0,0.5000145,0.0,0.0,0.0,0.0
0.0,0.5,0.5,0.5,0.0,1.0,0.884,0.884,0.0,0.0,0.0,0.0,0.5001132,0.0,0.50356555,0.0,0.0,0.5001132,0.0,0.50356555
0.0,0.5,0.5,0.0,0.0,0.26923078,0.0,0.532,0.53933334,0.0,0.50000066,0.5000011,0.0,0.0,0.0,0.50000066,0.5000011,0.0,0.0,0.0
0.0,0.5,0.0,0.0,0.510274,0.26923078,0.5313333,0.0,0.55466664,0.95266664,0.0,0.5000864,0.0,0.0,0.5135789,0.0,0.5000864,0.0,0.0,0.0
0.0,0.0,0.5,0.5,0.042465746,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5010666,0.5077201,0.0,0.0,0.0,0.0,0.5077201,0.0
0.0,0.5,0.0,0.0,0.50547945,0.26923078,0.52666664,0.0,0.0,0.532,0.50005865,0.5001401,0.0,0.0,0.5005405,0.50005865,0.5001401,0.0,0.0,0.5005405
0.5,0.5,0.0,0.0,0.5931507,0.26923078,0.0,0.0,0.532,0.54933333,0.5000486,0.0,0.0,0.5002386,0.5000108,0.5000486,0.0,0.0,0.5002386,0.5000108
